confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000092;2020-06-14;62;1755;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000093;2020-06-14;4;490;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000094;2020-06-14;59;8793;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000095;2020-06-14;1;1358;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000096;2020-06-14;31;96;Eritrea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000097;2020-06-14;2;850;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000098;2020-06-14;33;1809;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000099;2020-06-14;24;2603;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000100;2020-06-14;16;4465;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000101;2020-06-14;37;1169;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000102;2020-06-14;30;583;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000103;2020-06-14;137;3594;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000104;2020-06-14;179;3345;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000105;2020-06-14;94;5090;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000106;2020-06-14;9;418;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000107;2020-06-14;20;1272;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000108;2020-06-14;42;8734;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000109;2020-06-13;215;7435;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000110;2020-06-13;846;11964;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000111;2020-06-13;376;9572;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000112;2020-06-13;28;470;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000113;2020-06-13;50;4534;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000114;2020-06-13;116;2222;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000115;2020-06-13;2;1096;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000116;2020-06-13;12;458;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000117;2020-06-13;54;4778;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000118;2020-06-13;2;696;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000119;2020-06-13;501;15682;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000120;2020-06-13;5;530;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000121;2020-06-13;9;659;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000122;2020-06-13;164;4848;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000123;2020-06-13;2;980;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000124;2020-06-13;29;726;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000125;2020-06-13;1677;42980;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000126;2020-06-13;3809;65736;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000127;2020-06-13;31;541;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000128;2020-06-13;110;1682;Mauritania;confirmed_cases_africa_ncov_2020-06-16
