DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-09 21:46:58";"2020-05-09";"1";"17";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1259187981367246848/photo/1";
"2020-05-09 20:37:25";"2020-05-09";"1";"18";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1259186782702272512/photo/1";
"2020-05-09 19:56:38";"2020-05-09";"11";"514";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1259174359417184256/photo/1";
"2020-05-09 19:24:07";"2020-05-09";"1";"16";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1259170691615731712/photo/1";
"2020-05-09 19:08:41";"2020-05-09";"2";"37";"466";"MALI";"https://twitter.com/GouvernementM/status/1259123471147241474/photo/1";
"2020-05-09 18:09:12";"2020-05-09";"6";"494";"12";"ALGERIA";"https://www.observalgerie.com/covid-19-en-algerie-le-point-sur-la-situation-ce-samedi-9-mai/2020/";
"2020-05-09 17:57:07";"2020-05-09";"8";"186";"710";"SOUTH AFRICA";"https://twitter.com/nicd_sa/status/1259125430101172229/photo/1";
"2020-05-09 17:36:58";"2020-05-09";"4";"48";"706";"SOMALIA";"https://twitter.com/SomaliaCovid19/status/1259131248598867972";
"2020-05-09 14:39:19";"2020-05-09";"1";"30";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1259097080003526657";
"2020-05-09 13:09:50";"2020-05-09";"1";"5";"231";"ETHIOPIA";"https://twitter.com/lia_tadesse/status/1259066103449432064/photo/2";
"2020-05-09 12:35:36";"2020-05-09";"1";"15";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1259068653422641152";
"2020-05-09 12:25:39";"2020-05-09";"3";"7";"894";"ZAMBIA";"https://twitter.com/ZMPublicHealth/status/1259066149544824832/photo/1";
"2020-05-17 22:41:16";"2020-05-08";"3";"21";"834";"TANZANIA";"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200508covid-19-sitrep-109.pdf?sfvrsn=68f2c632_6";
"2020-05-10 11:26:30";"2020-05-08";"23";"110";"120";"CAMEROON";"https://twitter.com/SuzanneEko/status/1259411680599126021";
"2020-05-09 01:21:10";"2020-05-08";"10";"117";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1258888258383118337/photo/1";
"2020-05-08 23:54:00";"2020-05-08";"3";"35";"466";"MALI";"https://twitter.com/GouvernementM/status/1258866727254974467/photo/1";
"2020-05-08 23:06:41";"2020-05-08";"17";"178";"710";"SOUTH AFRICA";"https://twitter.com/nicd_sa/status/1258851899979239424/photo/1";
"2020-05-08 23:02:25";"2020-05-08";"2";"44";"562";"NIGER";"https://twitter.com/Covid19Niger/status/1258856495271292930/photo/1";
"2020-05-08 22:50:33";"2020-05-08";"1";"186";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1258794393311629316/photo/1";
"2020-05-08 22:49:03";"2020-05-08";"21";"503";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1258794623352389633/photo/1";
"2020-05-08 22:20:32";"2020-05-08";"1";"14";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1258816107261186050/photo/1";
"2020-05-08 21:24:28";"2020-05-08";"7";"59";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1258825658932887552/photo/1";
"2020-05-08 17:48:38";"2020-05-08";"1";"17";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1258761957756284929/photo/1";
